transaction_id,date,vendor,category,department,amount,approver
TXN00063,2026-01-01 12:18,Falcon Security Systems,Facilities,Finance,1711.62,R. Walsh
TXN00068,2026-01-02 09:49,Greenfield Logistics,Logistics,IT,4039.53,A. Murphy
TXN00076,2026-01-02 13:19,Riverbank Equipment Hire,Equipment,IT,2025.83,R. Walsh
TXN00115,2026-01-06 09:14,Metro Office Cleaning,Facilities,Facilities,1870.58,J. Connolly
TXN00094,2026-01-06 15:54,Nova Marketing Agency,Marketing,Marketing,4117.99,A. Murphy
TXN00003,2026-01-06 16:12,Apex IT Consulting,Professional Services,Facilities,4290.16,R. Walsh
TXN00110,2026-01-07 11:18,Falcon Security Systems,Facilities,Facilities,1433.94,S. Byrne
TXN00133,2026-01-08 10:32,Greenfield Logistics,Logistics,HR,3123.37,S. Byrne
TXN00054,2026-01-08 15:14,Falcon Security Systems,Facilities,Finance,2436.37,R. Walsh
TXN00066,2026-01-09 11:30,Apex IT Consulting,Professional Services,HR,1605.15,J. Connolly
TXN00006,2026-01-09 15:34,CloudHost Services,IT & Software,Operations,1564.12,R. Walsh
TXN00159,2026-01-13 18:52,Riverbank Equipment Hire,Equipment,Facilities,1287.01,S. Byrne
TXN00028,2026-01-14 16:15,Staples Office Supply,Office Supplies,Marketing,694.73,R. Walsh
TXN00023,2026-01-14 16:49,Riverbank Equipment Hire,Equipment,Finance,4745.36,A. Murphy
TXN00010,2026-01-14 17:40,Apex IT Consulting,Professional Services,Finance,5526.31,A. Murphy
TXN00083,2026-01-14 18:02,Metro Office Cleaning,Facilities,Operations,789.03,A. Murphy
TXN00027,2026-01-14 18:03,Riverbank Equipment Hire,Equipment,Finance,2858.82,J. Connolly
TXN00049,2026-01-15 10:34,Summit Legal Services,Professional Services,Operations,572.52,S. Byrne
TXN00160,2026-01-15 18:52,Riverbank Equipment Hire,Equipment,Facilities,1287.01,R. Walsh
TXN00038,2026-01-16 10:04,Staples Office Supply,Office Supplies,HR,770.58,J. Connolly
TXN00082,2026-01-16 15:01,Falcon Security Systems,Facilities,Facilities,868.97,J. Connolly
TXN00108,2026-01-20 11:40,Riverbank Equipment Hire,Equipment,Finance,4808.52,S. Byrne
TXN00018,2026-01-23 18:56,Summit Legal Services,Professional Services,HR,6955.85,S. Byrne
TXN00045,2026-01-27 12:07,Summit Legal Services,Professional Services,Operations,2745.34,A. Murphy
TXN00080,2026-01-27 15:11,CloudHost Services,IT & Software,Operations,2642.45,S. Byrne
TXN00105,2026-01-30 10:51,Nova Marketing Agency,Marketing,HR,796.35,S. Byrne
TXN00074,2026-01-30 11:04,Apex IT Consulting,Professional Services,IT,3372.76,R. Walsh
TXN00021,2026-01-30 13:48,Summit Legal Services,Professional Services,Finance,5067.28,J. Connolly
TXN00016,2026-01-30 18:10,Staples Office Supply,Office Supplies,Facilities,695.83,R. Walsh
TXN00161,2026-01-31 08:02,CloudHost Services,IT & Software,Marketing,3985.75,J. Connolly
TXN00024,2026-02-02 12:33,Nova Marketing Agency,Marketing,HR,6643.89,R. Walsh
TXN00112,2026-02-02 12:38,Greenfield Logistics,Logistics,Facilities,707.04,S. Byrne
TXN00139,2026-02-02 12:57,CloudHost Services,IT & Software,Operations,3089.4,J. Connolly
TXN00109,2026-02-03 16:04,CloudHost Services,IT & Software,Finance,796.82,J. Connolly
TXN00053,2026-02-04 14:01,Greenfield Logistics,Logistics,Finance,5864.37,S. Byrne
TXN00032,2026-02-05 12:29,Staples Office Supply,Office Supplies,Finance,351.97,J. Connolly
TXN00030,2026-02-06 09:06,Nova Marketing Agency,Marketing,Facilities,5710.23,R. Walsh
TXN00131,2026-02-06 11:36,Nova Marketing Agency,Marketing,IT,6550.11,A. Murphy
TXN00059,2026-02-06 12:02,Falcon Security Systems,Facilities,Facilities,2713.59,R. Walsh
TXN00046,2026-02-10 13:13,Bright Catering Co,Catering,Facilities,494.46,S. Byrne
TXN00012,2026-02-10 17:56,Falcon Security Systems,Facilities,Facilities,913.06,S. Byrne
TXN00051,2026-02-10 18:15,Staples Office Supply,Office Supplies,Facilities,724.19,J. Connolly
TXN00005,2026-02-11 13:06,Metro Office Cleaning,Facilities,Operations,941.93,R. Walsh
TXN00036,2026-02-12 08:37,Greenfield Logistics,Logistics,Facilities,1382.42,J. Connolly
TXN00015,2026-02-12 10:32,Riverbank Equipment Hire,Equipment,IT,2117.12,J. Connolly
TXN00085,2026-02-12 15:44,CloudHost Services,IT & Software,Marketing,2343.08,S. Byrne
TXN00124,2026-02-13 09:29,Summit Legal Services,Professional Services,Operations,3559.93,A. Murphy
TXN00165,2026-02-15 13:06,Nova Marketing Agency,Marketing,Facilities,20510.02,S. Byrne
TXN00162,2026-02-15 16:08,CloudHost Services,IT & Software,IT,2087.75,R. Walsh
TXN00123,2026-02-16 10:19,Nova Marketing Agency,Marketing,HR,1113.55,J. Connolly
TXN00072,2026-02-16 12:28,Summit Legal Services,Professional Services,Operations,4134.48,S. Byrne
TXN00093,2026-02-17 09:17,Falcon Security Systems,Facilities,IT,2503.34,A. Murphy
TXN00126,2026-02-17 15:35,Nova Marketing Agency,Marketing,Finance,6867.64,R. Walsh
TXN00026,2026-02-18 11:04,Metro Office Cleaning,Facilities,Marketing,1398.59,J. Connolly
TXN00120,2026-02-19 13:07,Nova Marketing Agency,Marketing,IT,890.0,J. Connolly
TXN00104,2026-02-19 15:07,Nova Marketing Agency,Marketing,Operations,3507.39,R. Walsh
TXN00057,2026-02-20 10:37,Staples Office Supply,Office Supplies,Marketing,136.51,J. Connolly
TXN00048,2026-02-20 10:47,Greenfield Logistics,Logistics,IT,3931.55,R. Walsh
TXN00095,2026-02-20 13:17,Nova Marketing Agency,Marketing,HR,1721.2,S. Byrne
TXN00001,2026-02-23 11:14,CloudHost Services,IT & Software,Finance,295.04,J. Connolly
TXN00004,2026-02-24 08:48,Apex IT Consulting,Professional Services,Finance,3869.07,R. Walsh
TXN00101,2026-02-24 09:53,Apex IT Consulting,Professional Services,Finance,2122.88,S. Byrne
TXN00148,2026-02-25 11:38,Riverbank Equipment Hire,Equipment,Marketing,3776.83,A. Murphy
TXN00138,2026-02-25 11:47,Riverbank Equipment Hire,Equipment,Operations,528.42,R. Walsh
TXN00008,2026-02-26 09:54,Staples Office Supply,Office Supplies,Finance,545.95,J. Connolly
TXN00140,2026-02-26 13:23,Metro Office Cleaning,Facilities,IT,2419.01,A. Murphy
TXN00125,2026-02-26 16:45,Nova Marketing Agency,Marketing,Marketing,6548.78,R. Walsh
TXN00151,2026-02-27 13:47,CloudHost Services,IT & Software,IT,9587.64,A. Murphy
TXN00153,2026-02-27 13:51,Nova Marketing Agency,Marketing,Operations,9733.7,J. Connolly
TXN00107,2026-02-27 17:27,Nova Marketing Agency,Marketing,Marketing,6386.98,J. Connolly
TXN00087,2026-03-02 17:43,CloudHost Services,IT & Software,IT,2399.0,R. Walsh
TXN00061,2026-03-02 18:54,Metro Office Cleaning,Facilities,Operations,1379.2,S. Byrne
TXN00011,2026-03-04 08:14,Greenfield Logistics,Logistics,Operations,2934.88,S. Byrne
TXN00064,2026-03-04 15:28,Riverbank Equipment Hire,Equipment,IT,3111.98,A. Murphy
TXN00073,2026-03-04 16:05,Apex IT Consulting,Professional Services,Finance,2537.86,A. Murphy
TXN00055,2026-03-05 12:55,Metro Office Cleaning,Facilities,Operations,1019.79,S. Byrne
TXN00118,2026-03-06 13:42,Nova Marketing Agency,Marketing,Operations,2631.34,A. Murphy
TXN00130,2026-03-06 16:48,Summit Legal Services,Professional Services,HR,4132.56,R. Walsh
TXN00058,2026-03-09 13:27,CloudHost Services,IT & Software,HR,2466.97,J. Connolly
TXN00145,2026-03-09 17:19,CloudHost Services,IT & Software,Facilities,1878.57,R. Walsh
TXN00022,2026-03-12 12:15,Riverbank Equipment Hire,Equipment,Operations,1755.95,A. Murphy
TXN00007,2026-03-12 17:12,CloudHost Services,IT & Software,Facilities,2297.75,J. Connolly
TXN00121,2026-03-12 17:48,Summit Legal Services,Professional Services,IT,3964.82,R. Walsh
TXN00091,2026-03-12 18:57,CloudHost Services,IT & Software,IT,1847.39,A. Murphy
TXN00152,2026-03-13 16:32,Summit Legal Services,Professional Services,Marketing,9914.41,S. Byrne
TXN00146,2026-03-16 17:22,Bright Catering Co,Catering,HR,739.57,S. Byrne
TXN00017,2026-03-16 17:29,Riverbank Equipment Hire,Equipment,HR,504.93,S. Byrne
TXN00142,2026-03-16 17:43,Greenfield Logistics,Logistics,Finance,750.12,R. Walsh
TXN00155,2026-03-18 08:16,Summit Legal Services,Professional Services,IT,1604.71,S. Byrne
TXN00079,2026-03-18 17:36,Riverbank Equipment Hire,Equipment,Facilities,2763.79,J. Connolly
TXN00013,2026-03-18 18:29,Apex IT Consulting,Professional Services,Finance,5415.79,S. Byrne
TXN00034,2026-03-19 08:10,CloudHost Services,IT & Software,IT,3720.19,J. Connolly
TXN00156,2026-03-19 08:16,Summit Legal Services,Professional Services,Facilities,1604.71,S. Byrne
TXN00166,2026-03-19 12:12,Staples Office Supply,Office Supplies,Operations,29235.16,R. Walsh
TXN00136,2026-03-19 18:05,Metro Office Cleaning,Facilities,Marketing,1926.29,R. Walsh
TXN00056,2026-03-19 18:53,Metro Office Cleaning,Facilities,HR,1978.22,S. Byrne
TXN00078,2026-03-20 10:53,Apex IT Consulting,Professional Services,IT,2547.01,A. Murphy
TXN00052,2026-03-20 17:47,Metro Office Cleaning,Facilities,Finance,2373.33,A. Murphy
TXN00164,2026-03-21 12:02,Riverbank Equipment Hire,Equipment,Facilities,20557.95,R. Walsh
TXN00002,2026-03-23 08:01,Summit Legal Services,Professional Services,Operations,1152.04,A. Murphy
TXN00075,2026-03-23 14:57,Metro Office Cleaning,Facilities,HR,1696.44,J. Connolly
TXN00047,2026-03-24 12:02,Summit Legal Services,Professional Services,Operations,4163.99,S. Byrne
TXN00050,2026-03-25 10:02,Riverbank Equipment Hire,Equipment,Marketing,2852.12,S. Byrne
TXN00019,2026-03-26 10:29,Metro Office Cleaning,Facilities,Operations,467.92,S. Byrne
TXN00150,2026-03-27 08:37,Staples Office Supply,Office Supplies,Marketing,281.7,A. Murphy
TXN00134,2026-03-27 09:33,CloudHost Services,IT & Software,IT,3521.92,J. Connolly
TXN00114,2026-03-27 09:38,Summit Legal Services,Professional Services,Operations,4549.86,R. Walsh
TXN00035,2026-03-30 12:27,Falcon Security Systems,Facilities,Facilities,905.83,R. Walsh
TXN00081,2026-03-30 13:21,Falcon Security Systems,Facilities,IT,1082.96,S. Byrne
TXN00143,2026-03-31 18:16,Riverbank Equipment Hire,Equipment,IT,886.97,S. Byrne
TXN00031,2026-04-01 08:43,Metro Office Cleaning,Facilities,Facilities,1357.2,J. Connolly
TXN00144,2026-04-01 12:43,Staples Office Supply,Office Supplies,HR,724.18,A. Murphy
TXN00069,2026-04-01 18:33,Greenfield Logistics,Logistics,HR,4883.43,S. Byrne
TXN00071,2026-04-03 15:16,Greenfield Logistics,Logistics,Finance,4538.84,S. Byrne
TXN00097,2026-04-06 15:50,Nova Marketing Agency,Marketing,Operations,4627.55,J. Connolly
TXN00119,2026-04-07 12:42,Metro Office Cleaning,Facilities,IT,1323.19,J. Connolly
TXN00020,2026-04-09 09:55,Summit Legal Services,Professional Services,Facilities,6214.72,S. Byrne
TXN00127,2026-04-09 10:55,Apex IT Consulting,Professional Services,Operations,7414.01,S. Byrne
TXN00043,2026-04-09 12:08,CloudHost Services,IT & Software,Marketing,2243.01,J. Connolly
TXN00128,2026-04-09 12:52,Falcon Security Systems,Facilities,Operations,1118.64,S. Byrne
TXN00102,2026-04-14 10:17,Apex IT Consulting,Professional Services,Operations,3206.61,J. Connolly
TXN00060,2026-04-15 18:46,Staples Office Supply,Office Supplies,Facilities,439.94,A. Murphy
TXN00111,2026-04-16 11:41,Nova Marketing Agency,Marketing,Finance,776.9,S. Byrne
TXN00044,2026-04-16 12:39,Apex IT Consulting,Professional Services,Facilities,3271.45,J. Connolly
TXN00033,2026-04-17 09:03,Nova Marketing Agency,Marketing,Facilities,5713.75,J. Connolly
TXN00122,2026-04-17 10:59,Staples Office Supply,Office Supplies,Marketing,202.67,R. Walsh
TXN00099,2026-04-17 13:22,Nova Marketing Agency,Marketing,Facilities,4008.27,R. Walsh
TXN00077,2026-04-17 17:57,Summit Legal Services,Professional Services,Finance,6106.37,R. Walsh
TXN00089,2026-04-20 08:22,Riverbank Equipment Hire,Equipment,HR,4066.53,R. Walsh
TXN00014,2026-04-20 16:16,Greenfield Logistics,Logistics,Facilities,1705.78,R. Walsh
TXN00141,2026-04-20 18:50,Apex IT Consulting,Professional Services,Finance,4483.75,A. Murphy
TXN00039,2026-04-21 11:37,Apex IT Consulting,Professional Services,HR,3528.32,J. Connolly
TXN00129,2026-04-23 18:31,Bright Catering Co,Catering,Finance,1272.47,R. Walsh
TXN00117,2026-04-24 14:40,Bright Catering Co,Catering,IT,354.08,J. Connolly
TXN00037,2026-04-24 15:32,Metro Office Cleaning,Facilities,HR,312.92,A. Murphy
TXN00092,2026-04-30 16:49,Falcon Security Systems,Facilities,IT,651.99,R. Walsh
TXN00084,2026-05-01 10:15,Apex IT Consulting,Professional Services,Finance,6794.22,R. Walsh
TXN00106,2026-05-01 11:49,CloudHost Services,IT & Software,HR,3976.89,R. Walsh
TXN00157,2026-05-04 13:06,Riverbank Equipment Hire,Equipment,IT,1638.26,J. Connolly
TXN00009,2026-05-04 13:10,Falcon Security Systems,Facilities,Marketing,942.22,S. Byrne
TXN00158,2026-05-05 13:06,Riverbank Equipment Hire,Equipment,HR,1638.26,S. Byrne
TXN00090,2026-05-06 13:00,Metro Office Cleaning,Facilities,IT,346.53,R. Walsh
TXN00135,2026-05-08 10:04,Greenfield Logistics,Logistics,IT,2636.88,S. Byrne
TXN00147,2026-05-08 14:17,Bright Catering Co,Catering,Operations,130.72,J. Connolly
TXN00040,2026-05-08 17:36,Riverbank Equipment Hire,Equipment,HR,593.52,S. Byrne
TXN00149,2026-05-12 18:43,Apex IT Consulting,Professional Services,Finance,5156.68,J. Connolly
TXN00113,2026-05-14 12:44,Nova Marketing Agency,Marketing,IT,1133.17,S. Byrne
TXN00098,2026-05-15 11:19,Bright Catering Co,Catering,Facilities,410.23,S. Byrne
TXN00088,2026-05-15 18:15,Apex IT Consulting,Professional Services,Operations,1069.97,S. Byrne
TXN00041,2026-05-20 13:15,Bright Catering Co,Catering,Marketing,385.96,R. Walsh
TXN00096,2026-05-20 14:31,Summit Legal Services,Professional Services,HR,576.13,A. Murphy
TXN00067,2026-05-20 14:31,Nova Marketing Agency,Marketing,IT,3076.75,A. Murphy
TXN00070,2026-05-20 16:27,Nova Marketing Agency,Marketing,HR,4404.77,R. Walsh
TXN00029,2026-05-21 17:36,Apex IT Consulting,Professional Services,IT,4544.25,A. Murphy
TXN00132,2026-05-25 15:45,Falcon Security Systems,Facilities,IT,274.39,R. Walsh
TXN00100,2026-05-25 16:48,Bright Catering Co,Catering,Facilities,529.27,A. Murphy
TXN00042,2026-05-26 09:00,Greenfield Logistics,Logistics,IT,4128.63,J. Connolly
TXN00086,2026-05-26 09:49,Greenfield Logistics,Logistics,Finance,3753.59,S. Byrne
TXN00062,2026-05-26 10:39,Summit Legal Services,Professional Services,HR,2819.63,S. Byrne
TXN00065,2026-05-26 11:43,Summit Legal Services,Professional Services,Marketing,4048.9,A. Murphy
TXN00025,2026-05-27 11:45,Apex IT Consulting,Professional Services,Marketing,7466.85,R. Walsh
TXN00154,2026-05-27 11:55,Greenfield Logistics,Logistics,Facilities,9861.38,R. Walsh
TXN00103,2026-05-27 15:06,Summit Legal Services,Professional Services,Operations,2691.02,S. Byrne
TXN00137,2026-05-28 15:55,Metro Office Cleaning,Facilities,HR,1936.38,J. Connolly
TXN00116,2026-05-29 10:30,Bright Catering Co,Catering,HR,906.75,R. Walsh
TXN00163,2026-05-30 10:56,Riverbank Equipment Hire,Equipment,IT,2792.23,R. Walsh
